Date,Price,Open,High,Low,Vol.,Change %
11/14/2017,103.94,105.99,105.99,103.91,1.18M,-1.97%
11/15/2017,102.2,104.02,104.22,102.18,973.52K,-1.67%
11/16/2017,103.14,102.39,103.57,101.88,635.23K,0.92%
11/17/2017,102.36,102.8,103.23,101.65,948.70K,-0.76%
11/20/2017,102.78,102.67,103.17,102.05,709.87K,0.41%
11/21/2017,104.59,102.76,104.66,102.76,736.74K,1.76%
11/22/2017,104.12,104.29,104.8,103.63,430.90K,-0.45%
11/24/2017,104.16,104.51,104.75,104.1,207.83K,0.04%
11/27/2017,103.29,103.6,104.09,103.27,534.02K,-0.84%
11/28/2017,102.87,103.24,103.58,102.49,524.02K,-0.41%
11/29/2017,102.25,101.5,102.55,100.7,754.87K,-0.60%
11/30/2017,102.44,102.31,103,102.03,1.16M,0.19%
12/1/2017,102.84,102.8,103.4,101.9,722.79K,0.39%
12/4/2017,102.52,102.8,103.45,101.85,624.42K,-0.31%
12/5/2017,101.41,102.32,102.75,101.33,628.19K,-1.08%
12/6/2017,102.33,101.73,102.68,101.34,472.60K,0.91%
12/7/2017,102.27,101.94,102.75,101.84,528.22K,-0.06%
12/8/2017,103.13,102.19,103.14,101.88,493.94K,0.84%
12/11/2017,102.88,102.94,103.28,102.1,442.30K,-0.24%
12/12/2017,103.88,103.15,104.07,101.83,967.84K,0.97%
12/13/2017,102.57,103.9,104.22,102.34,833.08K,-1.26%
12/14/2017,102.45,102.08,102.52,101.43,662.99K,-0.12%
12/15/2017,103.1,103.04,103.74,102.81,1.16M,0.63%
12/18/2017,102.95,103.17,103.77,102.82,520.15K,-0.15%
12/19/2017,99.5,102.77,103.01,99.01,573.50K,-3.35%
12/20/2017,99.48,99.43,100.76,98.87,1.06M,-0.02%
12/21/2017,98.77,99.69,100.18,98.54,438.91K,-0.71%
12/22/2017,99.75,98.8,100.04,98.75,637.10K,0.99%
12/26/2017,100.15,100.01,100.37,99.61,296.93K,0.40%
12/27/2017,100.07,100.3,100.56,99.65,287.43K,-0.08%
12/28/2017,100.56,100.1,100.7,99.8,382.68K,0.49%
12/29/2017,100.56,100.86,101.07,100.09,462.28K,0.00%
1/2/2018,99.6,100.6,100.6,99.48,901.97K,-0.95%
1/3/2018,99.49,99.37,100.17,98.31,939.94K,-0.11%
1/4/2018,96.58,99.11,99.44,96.51,735.52K,-2.92%
1/5/2018,96.15,96.58,96.99,95.64,960.11K,-0.45%
1/8/2018,96.48,96.16,96.97,96.07,556.56K,0.34%
1/9/2018,95.01,96.39,96.87,94.84,643.91K,-1.52%
1/10/2018,93.91,94.5,94.69,93.39,700.04K,-1.16%
1/11/2018,92.07,93.38,93.83,91.98,605.28K,-1.96%
1/12/2018,91.32,92,92.29,90.88,856.95K,-0.81%
1/16/2018,92.2,91.63,93.64,91.63,885.67K,0.96%
1/17/2018,92.87,92.74,93.21,92.08,878.53K,0.73%
1/18/2018,91.54,92.47,92.61,91.13,672.90K,-1.43%
1/19/2018,92.52,92.43,93.35,91.82,711.72K,1.07%
1/22/2018,93.25,92.5,93.25,92.23,564.55K,0.79%
1/23/2018,95,93.4,95.08,93.09,697.32K,1.88%
1/24/2018,94.61,94.85,95.18,94.29,781.82K,-0.41%
1/25/2018,94.5,94.62,94.62,93.8,580.84K,-0.12%
1/26/2018,94.51,94.77,94.82,93.34,555.16K,0.01%
1/29/2018,93.25,94.23,94.37,93.07,580.83K,-1.33%
1/30/2018,92.96,93,93.69,92.78,705.85K,-0.31%
1/31/2018,95.37,92.82,95.4,92.59,1.16M,2.59%
2/1/2018,91.75,94.5,95,91.11,1.47M,-3.80%
2/2/2018,91.69,90.96,92.13,90.05,875.14K,-0.07%
2/5/2018,88.9,91.73,93.49,88.9,1.02M,-3.04%
2/6/2018,89.19,87.89,89.91,86.95,1.07M,0.33%
2/7/2018,87.93,88.8,90.2,87.85,845.85K,-1.41%
2/8/2018,85.39,87.54,89.47,85.3,982.73K,-2.89%
2/9/2018,87.75,85.75,88.52,85.75,1.50M,2.76%
2/12/2018,87.74,88.32,88.72,85.64,1.06M,-0.01%
2/13/2018,87.99,87.83,88.34,87.19,769.87K,0.28%
2/14/2018,87.85,87.22,87.91,86.22,751.82K,-0.16%
2/15/2018,88.98,88.09,89.15,87.63,645.74K,1.29%
2/16/2018,88.75,88.95,89.88,88.33,1.77M,-0.26%
2/20/2018,88.25,88.27,89.72,87.03,831.24K,-0.56%
2/21/2018,85.51,88.06,88.53,85.48,875.44K,-3.10%
2/22/2018,85.91,85.71,86.75,85.31,846.84K,0.47%
2/23/2018,88.05,86.44,88.11,85.96,513.09K,2.49%
2/26/2018,87.77,88.34,88.47,87.28,610.93K,-0.32%
2/27/2018,85.59,87.87,88.26,85.56,699.46K,-2.48%
2/28/2018,85.82,86.08,87.48,85.81,1.05M,0.27%
3/1/2018,85.91,85.51,87.05,85.27,968.68K,0.10%
3/2/2018,85.68,85.42,86.09,85.16,836.31K,-0.27%
3/5/2018,86.75,85.58,87.44,85.43,913.34K,1.25%
3/6/2018,86.22,86.68,86.86,85.81,867.85K,-0.61%
3/7/2018,86.7,86.03,87.3,86,1.50M,0.56%
3/8/2018,87.03,86.92,87.48,86.48,1.07M,0.38%
3/9/2018,89.36,87.31,89.37,86.66,1.06M,2.68%
3/12/2018,89.34,89.16,89.76,88.78,680.56K,-0.02%
3/13/2018,89.47,89.83,90.39,89.21,616.71K,0.15%
3/14/2018,90.38,89.65,90.5,88.91,855.80K,1.02%
3/15/2018,90.85,90.56,91.35,90.28,889.68K,0.52%
3/16/2018,91.9,91.13,92.05,90.82,1.08M,1.16%
3/19/2018,91.03,91.7,91.7,90.26,633.02K,-0.95%
3/20/2018,89.85,91.11,91.77,89.45,745.93K,-1.30%
3/21/2018,89.47,89.89,90.58,89.02,525.03K,-0.42%
3/22/2018,88.16,89.11,90.56,88.13,742.63K,-1.46%
3/23/2018,86.83,88.13,88.37,86.61,803.23K,-1.51%
3/26/2018,87.85,87.54,88.02,87.13,600.72K,1.17%
3/27/2018,88.2,87.81,89.44,86.96,774.07K,0.40%
3/28/2018,90.94,88.67,91.14,88.64,716.48K,3.11%
3/29/2018,91.24,91.32,91.54,90.49,990.65K,0.33%
4/2/2018,90.28,91.34,91.34,89.72,834.05K,-1.05%
4/3/2018,91.64,90.59,92.23,90.04,872.64K,1.51%
4/4/2018,92.5,91.08,92.74,91.08,691.35K,0.94%
4/5/2018,92.44,92.63,92.63,91.6,337.56K,-0.06%
4/6/2018,91.98,92.6,93.08,91.78,732.31K,-0.50%
4/9/2018,91.89,92.06,92.6,91.39,833.93K,-0.10%
4/10/2018,92.18,92.31,92.69,91.79,609.30K,0.32%
4/11/2018,92.27,91.99,93.11,91.72,671.65K,0.10%
4/12/2018,90.43,91.77,91.77,89.96,745.40K,-1.99%
4/13/2018,91.5,90.57,91.63,90.44,836.35K,1.18%
4/16/2018,91.69,91.7,92.34,91.01,708.90K,0.21%
4/17/2018,92.65,91.94,93.16,91.6,841.77K,1.05%
4/18/2018,92,92.81,92.85,91.91,532.14K,-0.70%
4/19/2018,90.34,91.74,92.15,89.84,579.66K,-1.80%
4/20/2018,89.61,90.36,90.76,89.47,453.05K,-0.81%
4/23/2018,89.82,89.94,90.71,89.36,518.89K,0.23%
4/24/2018,89.87,89.92,90.4,89.26,566.98K,0.06%
4/25/2018,89.72,89.58,90.19,88.73,400.40K,-0.17%
4/26/2018,90.69,89.99,91.27,89.55,504.56K,1.08%
4/27/2018,91.91,90.57,92.5,90.19,629.76K,1.35%
4/30/2018,91.46,92.11,92.5,91.38,515.78K,-0.49%
5/1/2018,92.52,91.57,92.77,90.77,645.17K,1.16%
5/2/2018,92.02,92.21,92.92,91.2,916.01K,-0.54%
5/3/2018,91.77,90.33,92.69,89.82,870.94K,-0.27%
5/4/2018,92.34,91.54,92.59,91.2,665.18K,0.62%
5/7/2018,93.05,92.72,93.14,92.36,413.89K,0.77%
5/8/2018,92.03,92.9,92.9,91.69,702.17K,-1.10%
5/9/2018,92.5,92.19,92.78,91.99,376.53K,0.51%
5/10/2018,93.01,93.15,93.52,92.52,467.38K,0.55%
5/11/2018,91.98,93.34,93.82,91.89,544.51K,-1.11%
5/14/2018,91.53,91.88,92.3,90.71,502.73K,-0.49%
5/15/2018,89.23,90.88,90.94,88.79,553.51K,-2.51%
5/16/2018,88.9,89.25,89.43,88.51,549.84K,-0.37%
5/17/2018,88.24,88.95,89.26,87.94,419.53K,-0.74%
5/18/2018,87.93,88.22,88.47,87.47,516.83K,-0.35%
5/21/2018,88.59,88.2,88.88,87.51,313.59K,0.75%
5/22/2018,89.83,88.98,90.06,88.47,893.23K,1.40%
5/23/2018,91.65,90.05,92.24,90.05,910.42K,2.03%
5/24/2018,90.88,91.5,91.7,90.15,585.45K,-0.84%
5/25/2018,91.54,91.07,92.19,91.07,534.65K,0.73%
5/29/2018,91.74,91.26,91.8,90.53,627.77K,0.22%
5/30/2018,93.99,91.65,94.08,91.38,607.34K,2.45%
5/31/2018,93.56,93.22,93.76,92.51,724.41K,-0.46%
6/1/2018,94.55,93.72,94.78,91.91,750.21K,1.06%
6/4/2018,95.55,94.87,95.82,94.22,720.65K,1.06%
6/5/2018,95.29,95.78,95.87,94.95,784.58K,-0.27%
6/6/2018,95.31,94.94,95.42,94.31,507.41K,0.02%
6/7/2018,95.35,95.31,95.77,94.81,525.94K,0.04%
6/8/2018,96.29,95.47,96.59,95.38,555.27K,0.99%
6/11/2018,96.3,96.2,96.6,95.78,626.01K,0.01%
6/12/2018,97.09,96.29,97.47,95.63,671.71K,0.82%
6/13/2018,96,97.3,97.58,95.22,714.06K,-1.12%
6/14/2018,96.87,96.24,97.93,96.19,825.81K,0.91%
6/15/2018,96.5,96.99,97.56,96.34,850.06K,-0.38%
6/18/2018,96.02,96.35,96.59,95.42,604.66K,-0.50%
6/19/2018,96.29,95.41,97.12,95.41,782.39K,0.28%
6/20/2018,97.88,96.14,98.01,95.72,1.05M,1.65%
6/21/2018,98.83,98,98.97,97.34,902.52K,0.97%
6/22/2018,99.58,98.9,99.81,98.15,896.02K,0.76%
6/25/2018,99.78,99.65,100.24,99.18,668.90K,0.20%
6/26/2018,100.05,99.83,100.9,99.32,1.47M,0.27%
6/27/2018,99.89,100.55,101.35,99.61,1.29M,-0.16%
6/28/2018,101.25,99.98,101.46,99.98,757.21K,1.36%
6/29/2018,100.67,100.91,101.73,99.46,1.02M,-0.57%
7/2/2018,99.42,100.56,100.98,98.69,862.64K,-1.24%
7/3/2018,99.44,99.4,100.36,98.87,545.03K,0.02%
7/5/2018,99.65,99.64,99.75,98.93,666.99K,0.21%
7/6/2018,100.26,99.97,100.53,99.67,653.02K,0.61%
