Date,Price,Open,High,Low,Vol.,Change %
7/14/2016,103.76,103.83,104.8,103.32,389.57K,-0.63%
7/15/2016,103.67,103.37,103.87,101.31,386.95K,-0.09%
7/18/2016,104.53,103.75,104.65,103.09,511.14K,0.83%
7/19/2016,104.92,104.53,105.11,102.64,448.66K,0.37%
7/20/2016,106.31,105.25,106.39,104.77,604.64K,1.32%
7/21/2016,107.19,105.56,107.3,105.56,522.39K,0.83%
7/22/2016,108.81,106.92,109.02,106.75,724.04K,1.51%
7/25/2016,109.29,108.99,109.43,108.48,692.55K,0.44%
7/26/2016,109.26,109.59,109.99,109.05,762.92K,-0.03%
7/27/2016,108.8,108.92,110,108.36,902.93K,-0.42%
7/28/2016,111.03,108.69,111.39,108.69,532.93K,2.05%
7/29/2016,112.3,111.16,112.97,110.97,844.73K,1.14%
8/1/2016,112.55,112.35,113.06,111.77,611.38K,0.22%
8/2/2016,109.48,112.1,112.92,107.54,781.83K,-2.73%
8/3/2016,110.77,109.51,111.17,108.73,517.47K,1.18%
8/4/2016,112.38,111.24,112.44,110.64,503.94K,1.45%
8/5/2016,111.41,112.5,112.56,110.69,533.96K,-0.86%
8/8/2016,112.14,111.3,112.99,111,555.68K,0.66%
8/9/2016,112.71,111.97,112.78,111.2,437.99K,0.51%
8/10/2016,111.12,112.8,113.28,110.47,749.43K,-1.41%
8/11/2016,110.72,111.65,111.65,109.98,544.21K,-0.36%
8/12/2016,112.45,110.8,112.55,110.74,1.35M,1.56%
8/15/2016,110.75,112.68,113.2,110.34,637.52K,-1.51%
8/16/2016,109.84,110.52,111.16,109.44,572.86K,-0.82%
8/17/2016,109.54,109.98,110.18,109.15,480.65K,-0.27%
8/18/2016,110.2,109.62,110.3,109.53,393.23K,0.60%
8/19/2016,109.28,110.02,110.02,108.87,253.16K,-0.83%
8/22/2016,109.9,109.28,110.13,108.83,386.91K,0.57%
8/23/2016,109.68,109.99,110.5,109.47,461.53K,-0.20%
8/24/2016,109.01,109.77,109.88,108.82,334.66K,-0.61%
8/25/2016,109.24,109.26,110.14,108.99,297.34K,0.21%
8/26/2016,108.27,109.5,110.18,107.92,349.67K,-0.89%
8/29/2016,109.74,108.93,110.05,108.93,213.86K,1.36%
8/30/2016,110.29,109.97,110.34,108.7,247.33K,0.50%
8/31/2016,110.09,110.19,110.4,109.82,746.01K,-0.18%
9/1/2016,109.99,110.23,110.4,109.23,368.31K,-0.09%
9/2/2016,111.85,110.54,112.35,110.54,646.39K,1.69%
9/6/2016,112.41,112.05,112.48,111.49,432.08K,0.50%
9/7/2016,114.52,112.43,114.52,112.39,366.48K,1.88%
9/8/2016,113.59,114.15,114.62,113.53,478.47K,-0.81%
9/9/2016,106.31,112.25,112.83,105.94,867.82K,-6.41%
9/12/2016,108.82,106.08,109.25,105.55,503.66K,2.36%
9/13/2016,104.43,108.42,108.42,103.79,537.67K,-4.03%
9/14/2016,105.18,104.7,105.64,104.22,294.32K,0.72%
9/15/2016,105.67,105.09,105.88,104.59,288.20K,0.47%
9/16/2016,106.25,104.96,106.52,104.62,836.37K,0.55%
9/19/2016,108,106.67,108.08,106.22,349.46K,1.65%
9/20/2016,108.06,108.7,108.7,107.68,337.41K,0.06%
9/21/2016,110.36,108.38,110.55,107.53,426.98K,2.13%
9/22/2016,113.03,111.36,113.17,111.36,417.69K,2.42%
9/23/2016,113.39,112.33,113.74,111.69,316.10K,0.32%
9/26/2016,113.81,112.91,114.22,112.47,276.28K,0.37%
9/27/2016,112.54,114.38,114.67,112.37,254.92K,-1.12%
9/28/2016,112.8,111.91,113.02,111.35,351.23K,0.23%
9/29/2016,109.79,112.15,112.15,109.44,451.86K,-2.67%
9/30/2016,108.77,110.3,110.61,108.61,676.00K,-0.93%
10/3/2016,106.31,108.31,108.51,106.19,414.05K,-2.26%
10/4/2016,105.53,106.02,106.57,104.72,325.01K,-0.73%
10/5/2016,103.44,106.04,106.63,103.37,303.12K,-1.98%
10/6/2016,104.03,102.95,104.35,101.8,338.41K,0.57%
10/7/2016,103.88,104.62,105.63,103.39,633.80K,-0.14%
10/10/2016,104.2,104.07,105.15,103.94,292.72K,0.31%
10/11/2016,101.92,104.03,105.38,101.51,692.23K,-2.19%
10/12/2016,103.25,102,103.61,102,897.76K,1.30%
10/13/2016,103.9,103.13,104.34,102.46,850.35K,0.63%
10/14/2016,103.87,103.74,105.41,103.23,525.57K,-0.03%
10/17/2016,104.16,103.86,104.7,103.72,647.95K,0.28%
10/18/2016,105.05,104.81,105.55,104.17,926.03K,0.85%
10/19/2016,105.28,104.81,105.31,104.45,1.06M,0.22%
10/20/2016,106.32,105.15,106.73,105.01,365.06K,0.99%
10/21/2016,106.75,105.53,106.82,105.19,376.06K,0.40%
10/24/2016,106.72,108.08,108.08,106,252.63K,-0.03%
10/25/2016,107.34,106.28,107.63,105.58,427.44K,0.58%
10/26/2016,106.16,106.82,106.82,105.22,451.65K,-1.10%
10/27/2016,105.12,106.02,106.02,104.03,555.75K,-0.98%
10/28/2016,104.91,105.25,106.01,104.46,295.41K,-0.20%
10/31/2016,107.81,105.68,108.04,104.86,555.59K,2.76%
11/1/2016,107.35,107.44,109.45,105.52,798.75K,-0.43%
11/2/2016,104.55,107.22,107.63,104.45,646.10K,-2.61%
